3.13	000000	010
2.70	101001	011
2.84	010110	100
2.94	000101	000
2.89	011010	110
2.82	000001	100
2.98	001011	101
2.74	011111	001
3.19	010100	101
2.86	011111	110
2.81	010101	011
2.84	101110	001
2.86	011101	110
2.77	011101	101
2.98	100000	000
2.70	001111	001
2.82	101111	110
2.96	111001	110
2.99	001001	000
2.93	110010	000
3.08	100101	000
2.97	100101	010
3.02	111101	010
3.06	101110	001
2.95	001111	101
2.81	010010	000
3.03	101001	101
2.76	000111	100
3.14	111000	101
2.88	011001	111
2.99	010000	101
3.02	111010	010
3.16	000111	100
2.85	000101	100
2.72	101111	011
3.06	110001	110
3.02	001100	101
2.73	101111	101
2.94	011101	011
2.72	001011	100
2.88	100111	001
3.10	111011	101
3.13	100000	001
3.13	000011	001
3.05	111101	011
2.76	100101	110
3.06	110110	011
2.76	100011	001
3.05	110000	111
3.18	011101	101
2.95	111001	111
2.75	010001	101
3.11	011111	111
2.71	011110	010
3.05	100000	111
2.70	101110	011
3.08	111001	010
3.14	001000	101
2.86	000110	110
2.71	000001	100
2.98	101100	000
3.10	101001	011
2.86	111010	110
3.09	100101	101
2.97	011010	110
3.18	010101	010
2.93	011100	010
3.00	000110	110
3.16	011110	100
2.95	100000	100
2.91	000110	101
3.06	101001	101
2.81	001111	001
3.19	110001	100
2.84	010101	110
2.95	011100	101
2.72	001111	011
2.85	001101	001
3.18	011011	101
3.13	010010	001
3.05	000110	011
2.93	000111	010
2.98	001111	011
3.01	001100	100
3.04	010100	010
2.86	000111	100
2.79	001011	110
3.08	001100	001
2.85	101100	100
2.86	000100	000
2.88	101011	111
2.91	101001	100
2.78	111100	001
3.05	110111	101
2.85	100000	000
2.94	101101	011
3.11	110000	001
2.95	110111	010
3.20	000110	000
2.92	101011	110
3.00	010111	110
3.11	010010	101
2.74	111110	001
2.89	010000	100
3.11	101100	100
2.91	000000	100
2.92	100000	010
2.71	101111	111
2.81	010110	100
2.92	011010	000
2.91	000001	101
2.78	111010	010
2.89	011111	001
2.89	101100	110
3.13	001001	001
2.95	010111	110
3.11	111010	111
2.95	101000	011
2.91	001101	100
2.79	100110	010
3.15	001000	000
3.14	001010	010
2.79	110010	101
3.11	100010	011
2.81	101111	001
2.94	001011	011
2.74	011100	000
2.92	000010	001
2.92	110101	110
2.72	000110	010
2.92	111010	001
3.13	011101	110
3.13	001100	111
2.72	100100	010
2.88	111010	110
2.96	111111	001
2.73	110000	011
3.20	011100	011
3.15	001011	101
2.96	111001	000
2.95	100111	110
2.71	100111	010
2.91	010100	001
3.03	100000	111
2.83	011101	101
2.90	101100	111
2.96	111000	110
2.71	001101	101
3.16	111010	101
3.09	111011	000
2.88	100110	011
2.77	011100	100
3.18	100000	000
2.99	111000	011
2.72	010110	011
3.18	100110	110
2.93	010100	111
3.18	100010	111
2.76	100111	110
2.72	110010	001
2.93	101111	010
